mbirmi,tëggin,xeet,nettalin_fr,nettalin_wo
këddë,[kəd:ə],verbe transitif,donner verticalement un coup de talon,Daf ko daaneel këddë ko.
këddë,[kəd:ə],nom,coup de talon vers l’avant,Këddë mi mu ko teg metti na.
këf,[kəf],verbe,prendre à la volée,Mayu ma ko ko daf koo këf.
këf,[kəf],nom,chose,Jox maa këf kii.
këll,[kəl:],coverbe,être tout à fait (rassasié),Suur na këll.
këll,[kəl:],nom,récipient taillé dans du bois en forme de calebasse,Defal meew mi ci këll bi.
këmëx,[kəməx],verbe transitif,donner un coup de poing,Boo ma këmëxee ma feyyu.
këmëx,[kəməx],nom,"poing, coup de poing",Ab këmëx la ko teg ci bët.
këŋŋ,[kəŋ:],coverbe,être très (dur),Sa yeew bi dëgër na këŋŋ.
këpp,[kəp:],verbe transitif,renverser en parlant d’un récipient ou de son contenu,Këpp na aset bi.
kër,[kər],nom,"maison, famille",Kër gu bees laa dëkké.
këriñ,[kəriɲ],nom,charbon,Defal këriñ ci furnó bi.
kilifa,[kilifʌ],nom,"autorité hiérarchique, dignitaire",Kilifa kenn du ko jànni.
kiliyaan,[kilija:n],nom,"fidèle client, marchand habituel",Duma jaay sama ceeb bi ku dul sama kiliyaan.
kiló,[kilo],nom,kilo,Jaay ma ñaari kiló ceeb.
kilomet,[kilɔmet],nom,kilomètre,Diggante Ndakaaru ag Barñi fanweeri kilomet la.
kodiwaar,[kɔdiwa:r],nom,Côte-d’Ivoire,Kodiwwar bare na kafé.
kof-kofi,[kɔfkɔfi],verbe intransitif,trembler de froid,"Tey, dafa sedd, yaa ngi kof-kofi."
kol,[kɔl],nom,"écharpe, châle",Abal ma sa kol gu ñuul ga.
koll,[kɔl:],nom,ventre,Sama koll fees na.
kolooj,[kɔlɔ:ɉ],verbe transitif,presser du doigt sur l’œil de son adversaire,Bu ko kolooj.
kolu,[kɔlu],verbe intransitif,"mettre une écharpe, un châle","Sedd bi jam na, bala ngay génn, nga kolu."
komaase,[kɔma:se],verbe intransitif,commencer,Komaase na taw.
kom-ka,[kɔmkʌ],conjonction,"comme, puisque","Kom-ka doo dem, ma dellu sama kër."
kon,[kɔn],conjonction,donc,Summi nga sa dàll kon man nga duggsi.
kontar,[kɔntʌr],verbe transitif,"être contre, contrer",Dama ko kontar ba mu dóoree jabaram batey.
kontaan,[kɔnta:n],verbe,être content,"Tey, kontaan naa ci yow."
kontine,[kɔntine],verbe transitif et intransitif,"continuer, faire de la journée continue",Kontineel sa liggéey.
koñ,[kɔɲ],nom,"coin, rue",Tegal walis wi ci koñ bi.
koŋŋ,[kɔŋ:],coverbe,être très (sec),Gerte ga wow na koŋŋ.
koppe,[kɔp:e],nom,coopérative,Sunu koppe bi jënd na fukki barigoy ceeb.
kopperatif,[kɔp:erʌtif],nom,,
kor,[kɔr],nom,trahison,"Lu mu la wax, kor a ko lal."
kor,[kɔr],interjection,"employée pour appeler un cheval, un âne",Kor !
kori,[kɔri],nom,fête marquant la fin du carême,"Gis nañu weer wi, ëllëg la kori."
korite,[kɔrite],nom,,
kort,[kɔrt],verbe transitif,jeter le sort,Dañu ko kort.
kort,[kɔrt],nom,sort jeté,Kort la ñu ko sànni.
kot-koti,[kɔtkɔti],verbe intransitif,,
kotom,[kɔtɔm],verbe,"être racorni, décrépit, tordu par la chaleur",Bu xob wi yàggee ci naaj wi kotom.
kott,[kɔt:],verbe intransitif,serrer avec une ou deux jambes,Mungi kott fas mi ndax baña daanu.
kott,[kɔt:],adverbe,"seul, unique",Moom kott moo des sa kër ga.
kow,[kɔw],nom,"le dessus, l’intérieur d’un pays",Nitu kow dafay farala ragal woto.
kow-kow,[kɔwkɔw],nom,broussard,"Miinul taax, kow-kow la."
kowe,[kɔwe],verbe,"être haut, élevé",Puju néeg bi kowe na.
koog,[kɔ:g],nom,cuiller ou louche en calebasse,Wutal koog nga ñów naan ci soow mi.
koon,[ko:n],conjonction,,
koonte,[kɔ:nte],conjonction,,
koor,[kɔ:r],nom,"carême, jeûne, mois de ramadan",Koor gi metti na tey.
kóllëré,[kol:əre],nom,"alliance, estime de longue date entre deux personnes",Kóllëré gannaaw lay des.
kubéer,[kube:r],nom,couvercle,Tegal kubéer gi ci kastiloor bi.
kuddu,[kud:u],nom,cuiller,Jëlal kuddu gi yëngal meew mi.
kuf,[kuf],interjection,pour se préserver du malheur,Kuf ! Bul waxati loolu.
kujjé,[kuɉ:e],nom,rivalité,Kujjé rekk la xam.
kukk,[kuk:],coverbe,être très (noir),Xaru naar bi dafa ñuul kukk.
kuli,[kuli],nom,syphilis,Dafa ànd ag kuli.
kulóor,[kulo:r],verbe transitif,colorer,Kulóoral sa lam yi.
kulóor,[kulo:r],nom,couleur,Gan kulóor nga bëgg ci sa mbubb mi ?
kullarbi,[kul:ʌrbi],verbe transitif,remettre sur la bonne voie,Kullarbi ko.
kumaase,[kuma:se],verbe transitif et intransitif,,
kumpa,[kumpʌ],nom,"mystère, secret, chose cachée",Loolu kumpa la.
kumpa,[kumpʌ],nom,curiosité malsaine,Deñ-kumpa baaxul.
kupp,[kup:],verbe transitif et intransitif,"prendre au jeu de cartes un certain nombre, couper",Ku wara kupp ?
kuppe,[kup:e],nom,"balle, ballon",Jëndal ko kuppe bu ndaw.
kuppu-kala,[kup:ukʌlʌ],nom,"crabe de terre, terme employé à Saint-Louis","Soo demee Ndar nawet, tefes bi dafay bare kuppu-kala."
kurfeñ,[kurfeɲ],verbe transitif,donner un coup de poing,"Dama ko kurfeñ, mu jooy."
kurfeñ,[kurfeɲ],nom,coup de poing,Dóor na ma ñaari kurfeñ ci kanam.
kurpeñ,[kurpeɲ],nom,,
kurus,[kurus],nom,chapelet,Sama kurus am na téeméeri per.
kutt,[kut:],verbe transitif,étouffer par étranglement,Bu ko kutt.
kutt,[kut:],nom,tique,Aw kutt a ngi sam ci noppu xaj bi.
kuuj,[ku:ɉ],verbe intransitif,bifurquer,Séenoon naa ko waaye dafa kuuj jëm gaar ba.
kuuñ,[ku:ɲ],nom,"moignon, manchot",Ab kuuñ du xeex.
kuur,[ku:r],nom,pilon,Gënn gu nekk ag kuuram.
kuus,[ku:s],nom,"génie bienfaiteur, symbole de la prospérité","Boo taseeg kuus, sa lépp baax."
kuus-kuusi,[ku:sku:si],verbe intransitif,essayer en déployant de grands efforts physiques,"Kuus-kuusi naa ba sonn, mënuma koo yékkëti."
kuuy,[ku:j],nom,"bélier, mâle robuste","Xar yi, kuuy amu ci."
lab,[lʌb],verbe intransitif,,Xale bi lab na ci dex gi.
labat,[lʌbʌt],verbe transitif,,Sambaa ngiy labat Faatim.
laf,[lʌf],verbe transitif,,Laf ko ci bunt bi.
laf,[lʌf],nom,,Amul laf mënu ko yëkkëti.
lafañ,[lʌfʌɲ],adjectif,physiologie,Dafa lafañ.
lafañ,[lʌfʌɲ],nom,physiologie,Dimmalil lafañ bi mu jàll tali bi.
lagg,[lʌg:],verbe intransitif,,Laggal jëndali ma saabu.
lakk,[lʌk:],nom,,Lakk gi fay na.
lakk-lakk,[lʌk:lʌk:],nom,médical,Sa lakk-lakk bi wér na.
lakkal,[lʌk:ʌl],verbe transitif,,Lakkal na ma lool.
lakku,[lʌk:u],nom,comestible,May ma aw lakku.
lal,[lʌl],verbe transitif,,Lalal lal bi naaj na.
lal,[lʌl],nom,ameublement,Lalu ñaari nit laa am.
laltaay,[lʌlta:j],nom,ameublement,Lemal sa laltaay deñc.
laltu,[lʌltu],nom,ameublement,Toogal ci laltu gi.
lam,[lʌm],nom,bijouterie,Laamu xaalis la takk.
laman,[lʌmʌn],nom,ethnologie,
lamb,[lʌmb],adjectif,,Soowam dafa lamb mu maye ko.
lambar-lambar,[lʌmbʌr-lʌmbʌr],nom,,Sa lambar-lambar ji bari na te defuloo fi dara.
lambar-lambari,[lʌmbʌr-lʌmbʌri],verbe intransitif,,Bayyil lambar-lambari ci biir nit ñi.
lanc,[lʌɲc],nom,,Ndaw lanc bu rèy !
lanc,[lʌɲc],verbe transitif,,Loo lanc ?
lang,[lʌŋg],verbe intransitif,,Sa mbubb a ngiy lang ci buntu otobbi.
langaamu,[lʌŋga:mu],verbe transitif,,Langaamul ci car bi bala ngaa daanu.
lañset,[lʌɲset],nom,,Jëndoon naa benn lañset démb.
laŋ,[lʌŋ],verbe intransitif,,Dafa dem Tugal laŋ fa.
larax,[lʌrʌx],nom,entomologie,Ceeb bi am na larax.
lare,[lʌre],verbe transitif,,Lare naa ñaari petax.
larmet,[lʌrmet],nom,outil,Amul cumwaar larmet lay jiwé.
las,[lʌs],verbe qui s'emploie avec “ne”,,Gerte gaa ngi né las.
lasib,[lʌsib],verbe transitif,économie familiale,Sama yaay dafa doon lasib samay yéré.
laspeer,[lʌspe:r],nom,,Kuy lakk laspeer ?
lat,[lʌt],verbe transitif,,Maa nga fek mu lat di xaar.
late,[lʌte],verbe transitif,,Dafa late lool ci suñ kër.
late,[lʌte],verbe intransitif,,Mango yomb na ren ndax dafa late.
law,[lʌw],verbe intransitif,,Ñax maa ngiy law ci biir kër gi.
lawbe,[lʌwbe],nom,,Lawbe bi indil na ma gënn.
lawtan,[lʌwtʌn],nom,botanique,Sëb lawtan la.
lax,[lʌx],adjectif,,Toor-toor yii lax nañu.
lax,[lʌx],verbe intransitif,,Laxal kuddu gi ci soow mi ba ñépp ñów.
laxas,[lʌxʌs],verbe transitif,,Laxasal tanku xalebi.
laxas,[lʌxʌs],nom,coiffure,Sama laxas yi rapp nañu.
laxasoo,[lʌxʌsɔ:],verbe transitif et intransitif,,Sama kawar dafa laxasoo.
laxaab,[lʌxa:b],verbe intransitif,élevage,Bu fas wi lekkee banoppi nga laxaab ko.
lay,[lʌj],nom,,Sa lay wi jubul.
lay,[lʌj],verbe intransitif,,Lay nga ba génn ci.
lay,[lʌj],verbe transitif,,Lay naa dugub ji ba deseetul wenn feppu suuf.
lay,[lʌj],nom,météorologie,Gisuma dara ndax lay bi.
layduur,[lʌjdu:r],nom,botanique,Layduur laa nandaloo.
layoo,[lʌjɔ:],nom,juridique,Layoo bi jeex na.
layoo,[lʌjɔ:],verbe intransitif,juridique,"Layoo nañu, ñu jox ma dëgg."
laytan,[lʌjtʌn],nom,culinaire,May ma laax ci laytan ngi.
laytaay,[lʌjta:j],nom,économie familiale,Laytaayu xaleel war na di set bépp jamano.
layu,[lʌju],nom,culinaire,Defal ñebbe ji ci layu bi nga weer ko.
làbbili,[lab:ili],verbe intransitif,,Làbbili naa waaye jotuma ko.
làcc,[lac:],verbe qui s'emploie avec “ne”,,Mungi né làcc na ku ñu doon door.
làdd,[la:d],verbe qui s'emploie avec “ne”,,Gerte gaa ngi né làdd.
làggi,[lag:i],adjectif,physiologie,Tankam dafa doon metti mu joge ca làggi.
làkk,[lak:],nom,linguistique,
làkk,[lak:],verbe transitif,linguistique,
làkk,[lak:],nom,artisanat,Sa làkk bi fatt na.
làkk,[lak:],nom,artisanat,Sa làkk bi fatt na.
làkk,[lak:],verbe transitif,artisanat,Dafa doon làkk tóokarub ñambéen.
làmb,[lamb],verbe transitif,,Làmbal sama yaram mungi tàng.
làmb,[lamb],nom,lutte,Làmb ji dana metti tey.
làmboo,[lambɔ:],verbe intransitif,,Séram la làmboo.
làmmiñ,[lam:iɲ],nom,anatomie,Xaj làmmiñ lay naane : Dogs drink with their tongues.
làmmiñ,[lam:iɲ],nom,linguistique,Làmmiñam setul.
làmp,[lamp],nom,,Làmp bi tàkkul.
làng,[laŋg],verbe intransitif,,Buleen làng jiitleleen.
làng,[laŋg],nom,,Làng gi yaatuwul.
làngaaburi,[laŋga:buri],nom,,
lànk,[laŋk],verbe intransitif,,"Maa lànk, duma ñow."
lànkar,[laŋkar],nom,,Sama lànkar ji tuuru na.
làntinoor,[lantinɔ:r],nom,économie familiale,Abal ma làntinoor ma sol buteel bi.
làññ,[laɲ:],verbe qui s'emploie avec “ne”,,Bunt baa nga ne laññ.
làpp,[lap:],adjectif,,Xar mi làpp na lool.
làpp,[lap:],verbe transitif,,Làpp ko ndax mu bayyi saaga.
làq,[laq],verbe transitif,,Mungi làq dugubam di lekk samma jos.
làqarci,[laqʌrci],verbe transitif et intransitif,,Làqarcil buumu xar mi.
làyyi,[laj:i],adjectif,,Tey dafa layyi lool.
làyyi,[laj:i],nom,météorologie,
laa,[la:],nom,anatomie,Laa gi dogees na ko.
laab,[la:b],verbe transitif,élevage,Laabal fas wi.
laab,[la:b],nom,élevage,Laab ji xomaag na.
laab,[la:b],verbe transitif,,Xaleel mënula laab boppam.
laab,[la:b],adjectif,religion,Basaŋ gi menees na cee julli ndax laab na.
laabaan,[la:ba:n],nom,ethnologie,
laabaan,[la:ba:n],verbe intransitif,ethnologie,Laabaan nañu banoppi.
laabir,[la:bi:r],adjectif,,"Duma bàyyi ma fande, ku laabir la."
laaf,[la:f],nom,anatomie,Laafu ganaar gi damm na.
laafa,[la:fʌ],nom,habillement,Laafa mi jotu ko.
laago,[la:gɔ],nom,physiologie,Kañ la am laago ?
laaj,[la:ɉ],verbe transitif,,Laajal sa yaay ku jël sama paaka.
laaj,[la:ɉ],adjectif,,Bët dafa laaj.
laaj,[la:ɉ],nom,botanique,
laajté,[la:ɉte],verbe intransitif,,Laajtel bala ngay def.
laal,[la:l],verbe transitif,,Bul laal samay yëf.
laale,[la:le],verbe transitif,,Bu ngeen bëggee laale demleen ca àll ba.
laalo,[la:lɔ],nom,culinaire,
laalo,[la:lɔ],verbe transitif,culinaire,Cere ca ba muy tang lañu koy laalo.
laar,[la:r],nom,ethnologie,Ndaw si jënd na laaru xureet.
laar,[la:r],nom,habillement,"Xoolal mbaxana mi, amul laar."
laas,[la:s],nom,,Fompal sa laas yi.
laata,[la:ta],conjonction,,Fey na ma laata mu dem.
laaw,[la:w],nom,pêche,Gaynde-géej gi yàq na laaw mi.
laaw,[la:w],verbe transitif,pêche,Laaw na waaye daanaka jàppul dara.
laax,[la:x],nom,culinaire,Laax bu tàng lool day dog soow.
laax,[la:x],verbe transitif,culinaire,Anta laax na banoppi.
Laaxira,[la:xirʌ],nom,,
leb,[leb],verbe transitif,commerce,Leb naa jiwu ci koppe bi.
leble,[leble],verbe transitif,commerce,Damay leble ay sër ñaari weer.
legat,[legʌt],nom,culinaire,
leget,[leget],nom,culinaire,Defal soow mi ci leget gi.
lekat,[lekʌt],nom,culinaire,
leket,[leket],nom,culinaire,
lekk,[lek:],nom,,Yaa ngi yàq lekk gi.
lekk,[lek:],verbe transitif,,Lekkal yapp wi.
lekool,[lekɔ:l],nom,,Sunu lekool soriwul.
lelli,[lel:i],verbe transitif,,"Màngo bi yàquwul, lellil ci-kow."
lem,[lem],nom,,Sa lem bi baaxul.
lem,[lem],verbe transitif,,Lemal sa yéré deñc ci sa waxande.
lem,[lem],nom,comestible,Yamb ay defar lem.
lemb,[lemb],adjectif,,Xale bi dafa lemb lool mootax moromam yi diko ñaawal.
lempo,[lempɔ],nom,,Fey nga sa lempo ?
lemmi,[lem:i],verbe transitif,,Lemmil darab bi lal ko.
lenge,[leŋge],nom,ethnologie,Njulli ab lengeem lay nuyoo.
leraw,[lerʌw],nom,,Ag leraw la ko dumaa.
lerax,[lerʌx],verbe intransitif,,Lam baa ngi lerax ci naaj wi.
leru,[leru],verbe transitif,,Bul leru ñag bi ndax jaan yi.
let,[let],verbe transitif,,Letal xalima gi balaa ngay tàmbali bind.
lew,[lew],adjectif,,Alal jii lew na ma.
lew,[lew],nom,agriculture,Dogal ko lew wu yaa.
lewat,[lewʌt],adjectif,,Soow mi Astu jënd tey lewat na.
lewaayu,[lewa:ju],verbe transitif et intransitif,,Dinga lewaayu ba tàyyi te doo am dara.
lewet,[lewet],adjectif,,
leeb,[le:b],adjectif,,Nit ki nga doon waxal dafa leeb.
leeb,[le:b],nom,,Legéeyam leeb moo ko yàq.
leel,[le:l],verbe transitif,,Toogal leel sa doom.
leel,[le:l],adjectif,,Xalelu góor bi dafa leel.
leel,[le:l],nom,,Leelam bi jàpp na ko.
leem,[le:m],verbe transitif,,Leemal dugub ji ci neeg bi.
leeñ,[le:ɲ],nom,,Gasal am leeñ def ci mbalit mi.
leeñ,[le:ɲ],verbe transitif,,Leeñal ëtt bi.
leer,[le:r],adjectif,,"Biti bi leer na, mën ngaa ñibbi."
leer,[le:r],nom,,Ñowal ci leer gi ndax nga gis.
lees,[le:s],nom,textiles,Jëndal ndimol duubal lees.
leeso,[le:sɔ],nom,artisanat,Tëddleen ci leeso gi.
leetar,[le:tʌr],nom,,Sama yaay bind na ma leetar bu gudd.
leew,[le:w],adjectif,,Borom baat bu leew la.
leewu,[le:wu],verbe transitif,,Leewul sa doom mu ngiy jooy.
légét,[leget],nom,,Am na légét ci lex bi.
lejum,[leɉum],nom,botanique,Lejum bariwul ja ba tey.
létt,[let:],nom,coiffure,Defaral ma létt yu sew.
létt,[let:],verbe transitif,coiffure,Demal Ngóone lètt la.
léelée,[le:le:],adverbe,,
léeb,[le:b],verbe transitif et intransitif,,"Maam, kaay léebal nu."
léeb,[le:b],nom,,Fa la léeb doxe tabbi géej.
léebéer,[le:be:r],nom,zoologie,Dexu Gàmbi gi bare nay léebéer.
léegléeg,[le:gle:g],adverbe,,Dina fi ñow léegléeg.
léegi,[le:gi],adverbe,,"Léegi mu ñow, xaar ko."
léej,[le:ɉ],adjectif,,Xale bu léej du taggoog gaañu.
léemu,[le:mu],verbe transitif,religion,Bala ngaa dug ci gaal gi demal ci seriñ bi mu léemu la.
lëf,[ləf],nom,,Lëf boo ko dooree na nga ko yeggale.
lëf,[ləf],nom,anatomie,Sangal lëful xale bi.
lëg,[ləg],nom,zoologie,Ci léebi Wolof fu lëg dajeek buki nax ko.
lëj,[ləɉ],adjectif,,Wëñ gi dafa lëj.
lëj-lëj,[ləɉləɉ],nom,,Nu mu genne ca lëj-lëj ba ?
lëjal,[ləɉʌl],verbe transitif,,Génnel taabal ji ndax lëjal na ñu fii.
lël,[ləl],nom,ethnologie,Maag sa mag a bokkoon lël.
lël,[ləl],verbe transitif,,Bujëkk soldaar daan nañu faral di lël.
lëm,[ləm],nom,,Salioo ngi nëbbu ci lëm mi.
lëmës,[ləməs],verbe transitif,,Lëmës na li mu fi amoon.
lëmb,[lemb],verbe intransitif,,Banxas bi lëmb na waaye dammul.
lëmbé,[ləmbe],verbe transitif,,Lëmbé na kër gi ba dem yoonam.
lëmm,[ləm:],adverbe,,Lekk na banaana lëmm.
lënd,[lənd],nom,,Dindil lënd yi ci néeg bi.
lëndëm,[ləndəm],adjectif,,Biti bi lëndëm na.
lëndëm,[lədəm],nom,,"Boo taalul, lëdëm gi tere laa gis."
lëng,[ləŋg],verbe transitif,,Baayam a ko lëngoon di ko digal la mu wara def.
lëngoo,[ləŋgɔ:],nom,,
lëngoo,[ləŋgɔ:],verbe intransitif,,Ñaari xarit yaa nga lëngoo di doxantu.
lëñbët,[ləɲbət],verbe transitif et intransitif,,Lëñbët na ba tàyyi waaye xamul dara.
lëñtu,[ləɲtu],verbe transitif,,Looy lëñtu ci su ma afeer ?
liggéey,[lig:e:j],nom,,Liggéey bi sotti na.
liggéey,[lig:e:j],nom,ethnologie,Liggéey mënuma jàpp.
liggéey,[lig:e:j],verbe transitif,,Liggéey na ba sonn.
lijjanti,[liɉ:ʌnti],verbe transitif,,Maa ngiy lijjanti paasu Makka.
lim,[lim],nom,,Lim bi kenn desu ci.
lim,[lim],verbe transitif,,Sàcc bi lim na ñi mu jaayoon ñépp.
liminaat,[limina:t],nom,,Jëndal ma butéelu liminaat.
limonaat,[limɔna:t],nom,,
limoŋ,[limɔŋ],nom,botanique,Nalal limon bi.
limoŋ,[limɔŋ],nom,botanique,Limon gi rag na.
limon,[limɔŋ],adjectif,,Simisam bi dafa limon.
limboo,[limbɔ:],verbe transitif,,Dof bi limboo na ay sagaram.
lingeer,[liŋge:r],nom,ethnologie,"Ndaw soosu du def lu ñaw, lingeer dëgg la."
liw,[liw],adjectif,météorologie,Dama liw.
liw,[liw],nom,météorologie,Liw bi metti na tey.
liyaar,[lija:r],nom,,Cig liyaar laa xame li mu doon bëgg a wax.
liyaar,[lija:r],verbe transitif,,Ab luu dañu koy liyaar.
liiñ,[li:ɲ],nom,pêche,Weril sér bi ci liiñ gi.
liir,[li:r],nom,,Fabal liir bi yaayam nekku fi.
lobb,[lɔb:],verbe transitif,,Lobbal matt mi ci kër gi.
log,[lɔg],nom,,
log,[lɔg],verbe transitif,,Golo gaa ngi log benn new.
lokkat,[lɔk:ʌt],verbe transitif,coiffure,Dama doon xaar mu lokkat ma banoppi.
lolli,[lɔl:i],nom,météorologie,Ci lolli la làmb di sàjj.
lompaa,[lɔmpa:],nom,,Sama lal bi benn lompaa bi damm na.
lonk,[lɔŋk],verbe transitif,,Pont bi lonk na sama tubéy.
lopitaal,[lɔpita:l],nom,,
lor,[lɔr],verbe transitif,,Lor nga ma : toj nga sama leget gi.
lor,[lɔr],nom,,Gemmiñam a ngi fees dell ag i lor.
loraange,[lɔra:ŋge],nom,,Loraange amul ci loolu.
loru,[lɔru],verbe intransitif,,Loru nga ci.
lox,[lɔx],verbe intransitif,,Dafa tiit bay lox.
loxo,[lɔxɔ],nom,anatomie,Loxo ndey jooram a damm.
loxo,[lɔxɔ],nom,ethnologie,Boppam bi loxo ci dugg.
loob,[lɔ:b],verbe intransitif,textiles,Samba loob na banoppi.
loof,[lɔ:f],verbe intransitif,,Maral wi tax na nag yu bare loof ren.
looj,[lɔ:ɉ],verbe transitif,,Gëléem dañu koy looj.
looju,[lɔ:ɉu],verbe intransitif,,Boo bëggee tiisu loojul.
lool,[lɔ:l],adverbe,,Sonn naa lool.
looñ,[lɔ:ɲ],adjectif,,Sama maam-bu-jigéen dafa looñ.
looro,[lɔ:rɔ],nom,botanique,
loos,[lɔ:s],nom,anatomie,Sama loos day metti.
looy,[lɔ:j],nom,zoologie,
lu,[lu],adjectif,physiologie,
lu,[lu],nom,physiologie,
ludul,[ludul],conjonction,,Duma dem ludul nga jëlsi ma.
lutax,[lutʌx],conjonction,,Lutax jangsiwoo demb ?
lucci,[luc:i],verbe transitif,,Looy lucciy tuñ nii ?
luf,[luf],verbe intransitif,,Boo jaaree foofu dangay luf.
lug,[lug],verbe intransitif,,Baag ba lug na.
lugat,[lugʌt],verbe transitif,,Demal lugat baag bi.
lugg,[lug:],verbe transitif et intransitif,ethnologie,
lujum,[luɉum],nom,botanique,
lukkat,[lik:ʌt],verbe transitif,agriculture,Ci cooroon la beykat di lukkat ay toolam.
lukkat,[luk:ʌt],verbe transitif,coiffure,
lumb,[lumb],nom,physiologie,Deret ji way na ba sakk ay lumb.
lump,[lump],verbe transitif,,Lumpal lépp bala mu la cee ñaan.
lunk,[luŋk],adjectif,,Sa yoon wee ka lunk.
lupp,[lup:],nom,anatomie,
luu,[lu:],adjectif,physiologie,Xale bii dafa luu.
luu,[lu:],nom,physiologie,Ab luu liyaar lay waxe.
luubu,[lu:bu],adjectif,,"Dafa luubu, ay rekk lay wut."
ma,[mʌ],pronom,,Maa jël mburu mi ; du Kumba.
ma,[mʌ],défini,,Muus ma dee na.
macc,[mʌc:],verbe transitif,,Liir baa ngi macc baaraamam.
maf,[mʌf],nom,zoologie,Maf du génn guddi.
mafñàndu,[mʌfɲʌndu],verbe transitif,,"Awma teg, dama koy mafñàndu."
mafñandukat,[mʌfɲandukʌt],nom,,
mag,[mʌg],adjectif,,"Kër gu rèy la, mootax ñuy lekk ci bool bu mag."
mag,[mʌg],nom,,Sama mag ju jigéen séy na daaw.
mag,[mʌg],nom,,Magi dëkk bi daje nañu.
mag,[mʌg],nom,,Mag dikk na.
magat,[mʌgʌt],verbe intransitif,,Léegi damaa magat.
mala,[mʌlʌ],nom,zoologie,Yar mala wenn melo bax na ci kër.
malaaka,[mʌla:kʌ],nom,religion,Malaaka mbindaafoonu Yàlla la.
malaan,[mʌla:n],nom,habillement,"Sàngoo naa ñaari malaan, waaye mangi liiw batey."
man,[mʌn],verbe transitif et intransitif,,
man,[mʌn],pronom,,"Man duma lekk mbaam, jullit la."
man-man,[mʌn mʌn],nom,,
manq,[mʌŋq],verbe transitif,,Sexal yax bi manq yuq gi.
manq,[mʌŋq],nom,,"Liir ba ngiy jooy, jox ko manq bi ba yaayam ñów."
mar,[mʌr],adjectif,,"Maruma, léegi laa naan ñaari weeri ndox."
mar,[mʌr],verbe transitif,,Dafa mara tóx.
maral,[mʌrʌl],nom,,Maral baaxul ci mbey.
marbat,[mʌrbʌt],nom,,
mareñ,[mʌreɲ],verbe transitif,,Sàcc bi dafa mareñ taax mi jàll ci biir kër gi.
marine,[mʌrine],verbe transitif,culinaire,Dafa marine ganaar gi bi mu koy laata togg.
